Date,Close/Last,Volume,Open,High,Low
06/12/2025,$144.97,6999389,$144.50,$145.20,$143.43
06/11/2025,$144.78,9256663,$144.19,$145.12,$142.61
06/10/2025,$143.35,9841523,$142.22,$144.94,$141.91
06/09/2025,$140.76,7159471,$140.55,$142.14,$139.685
06/06/2025,$140.21,6563518,$138.09,$140.61,$138.09
06/05/2025,$136.90,6350526,$138.15,$138.29,$136.70
06/04/2025,$137.37,8735619,$139.42,$140.63,$137.33
06/03/2025,$139.55,9001305,$137.645,$140.59,$136.60
06/02/2025,$137.84,9076639,$138.49,$138.69,$136.4304
05/30/2025,$136.70,12858870,$136.88,$137.45,$135.21
05/29/2025,$137.91,7556199,$136.50,$137.94,$136.10
05/28/2025,$136.02,6876282,$138.78,$138.79,$135.66
05/27/2025,$137.83,8348877,$137.38,$137.969,$136.41
05/23/2025,$136.54,7025946,$134.39,$136.79,$134.06
05/22/2025,$135.29,8877579,$134.99,$135.99,$133.77
05/21/2025,$135.56,9073206,$136.62,$137.1293,$135.49
05/20/2025,$137.27,6503930,$138.285,$138.75,$137.03
05/19/2025,$138.49,7713568,$139.47,$139.52,$137.12
05/16/2025,$142.10,8200079,$142.70,$143.00,$140.696
05/15/2025,$142.26,7545407,$140.00,$142.46,$139.51
05/14/2025,$141.67,6453620,$141.76,$142.23,$140.725
05/13/2025,$142.35,8536797,$141.53,$143.23,$140.92
05/12/2025,$141.62,8028200,$142.45,$143.71,$140.57
05/09/2025,$138.49,5965723,$138.90,$139.37,$137.70
05/08/2025,$137.04,8669305,$136.685,$138.89,$136.47
05/07/2025,$135.79,8423485,$136.07,$136.30,$134.62
05/06/2025,$135.60,9916241,$136.35,$137.31,$135.04
05/05/2025,$135.50,9664980,$136.77,$137.00,$135.18
05/02/2025,$138.50,12393240,$137.875,$139.78,$135.29
05/01/2025,$136.26,10199850,$135.42,$137.95,$135.12
04/30/2025,$136.06,13858040,$138.00,$138.15,$134.14
04/29/2025,$139.30,7343820,$138.69,$140.01,$138.57
04/28/2025,$140.10,6715539,$138.97,$140.46,$138.68
04/25/2025,$138.73,6878491,$138.33,$139.05,$137.25
04/24/2025,$139.07,7745778,$137.92,$139.40,$137.216
04/23/2025,$136.68,10001970,$137.21,$138.55,$135.15
04/22/2025,$137.30,7984676,$135.26,$138.235,$134.94
04/21/2025,$133.73,9967487,$136.02,$136.29,$132.33
04/17/2025,$137.87,8434434,$136.69,$140.24,$136.45
04/16/2025,$135.36,8637220,$135.40,$137.55,$134.80
04/15/2025,$134.54,9334825,$134.32,$136.63,$134.25
04/14/2025,$135.32,9628152,$138.48,$138.535,$134.10
04/11/2025,$135.63,17224410,$135.01,$137.122,$132.04
04/10/2025,$134.98,20991220,$143.22,$143.63,$133.45
